frame,id,x,y,vx,vy,ax,ay,v_mag,a_mag,v_angle,a_angle,diff_v_a_angle,diff_v_angle,diff_a_angle,class,holder,closest,selected,prev_holder,def_selected
0,1,77.74,15.71,0.2,-0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,2,False,,False
0,2,78.49,14.48,0.04,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,1,False,,False
0,3,86.82,16.71,0.03,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,4,False,,False
0,4,87.81,16.38,-0.06,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,3,False,,False
0,5,90.13,13.99,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,13,False,,False
0,6,91.85,21.34,-0.13,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,8,False,,False
0,7,91.13,19.92,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,12,False,,False
0,8,93.43,25.12,0.17,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,6,False,,False
0,9,97.58,18.9,0.02,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,14,False,,False
0,10,77.88,4.96,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,True,11,False,,False
0,11,79.45,2.45,-0.02,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,10,False,,False
0,12,92.13,16.22,0.06,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,7,False,,False
0,13,93.17,19.52,-0.04,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,5,False,,False
0,14,97.9,18.31,0.01,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,9,False,,False
0,15,77.88,4.96,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disc,False,0,False,,False
1,1,77.76,15.65,0.39,-0.92,1.95,-3.7,0.37,0.0,-100.59,0.0,100.59,-100.59,0.0,offense,False,2,False,,False
1,2,78.5,14.45,0.06,-0.43,0.17,-1.6,1.54,0.0,109.0,0.0,109.0,109.0,0.0,defense,False,1,False,,False
1,3,86.83,16.68,0.01,-0.08,-0.26,0.31,0.41,0.0,-66.83,0.0,66.83,-66.83,0.0,defense,False,4,False,,False
1,4,87.8,16.4,-0.1,0.17,-0.39,0.53,0.17,0.0,128.31,0.0,128.31,128.31,0.0,offense,False,3,False,,False
1,5,90.13,13.99,0.01,-0.05,0.08,-0.28,0.01,0.0,-126.01,0.0,126.01,-126.01,0.0,defense,False,13,False,,False
1,6,91.82,21.43,-0.06,0.51,0.68,0.35,0.17,0.0,-19.38,0.0,19.38,-19.38,0.0,defense,False,8,False,,False
1,7,91.12,19.91,0.03,-0.2,0.24,-1.03,0.18,0.0,-70.94,0.0,70.94,-70.94,0.0,defense,False,12,False,,False
1,8,93.44,25.11,0.4,-0.56,2.29,-3.48,0.3,0.0,-45.23,0.0,45.23,-45.23,0.0,offense,False,6,False,,False
1,9,97.58,18.88,0.01,-0.15,-0.07,-0.4,0.02,0.0,36.39,0.0,36.39,36.39,0.0,offense,False,14,False,,False
1,10,77.88,4.99,0.01,0.25,0.11,0.48,0.37,0.0,89.09,0.0,89.09,89.09,0.0,offense,True,11,False,,False
1,11,79.45,2.48,-0.06,0.33,-0.46,1.88,0.3,0.0,104.18,0.0,104.18,104.18,0.0,defense,False,10,False,,False
1,12,92.14,16.19,0.06,-0.26,-0.0,-0.51,0.4,0.0,-73.02,0.0,73.02,-73.02,0.0,offense,False,7,False,,False
1,13,93.16,19.52,-0.05,-0.07,-0.06,-0.44,0.07,0.0,-141.36,0.0,141.36,-141.36,0.0,offense,False,5,False,,False
1,14,97.89,18.32,0.11,-0.28,1.05,-2.09,0.29,0.0,132.27,0.0,132.27,132.27,0.0,defense,False,9,False,,False
1,15,77.88,4.99,0.01,0.25,0.11,0.48,0.37,0.0,89.09,0.0,89.09,89.09,0.0,disc,False,0,False,,False
2,1,77.8,15.55,0.63,-1.26,2.43,-3.35,1.13,0.79,-80.79,-71.7,9.08,19.81,-71.7,offense,False,2,False,,False
2,2,78.5,14.4,0.14,-0.78,0.8,-3.42,1.08,2.61,-77.1,-73.51,3.59,-186.1,-73.51,defense,False,1,False,,False
2,3,86.83,16.68,-0.04,-0.03,-0.44,0.49,0.4,0.0,-66.83,113.33,179.85,-0.0,113.33,defense,False,4,False,,False
2,4,87.79,16.42,-0.13,0.19,-0.34,0.23,0.28,0.14,105.66,76.5,29.16,-22.65,76.5,offense,False,3,False,,False
2,5,90.13,13.98,0.02,-0.08,0.09,-0.29,0.08,0.07,-76.43,-68.22,8.21,49.57,-68.22,defense,False,13,False,,False
2,6,91.81,21.49,0.06,0.45,1.21,-0.64,1.15,1.25,103.85,110.29,6.44,123.24,110.29,defense,False,8,False,,False
2,7,91.13,19.89,0.06,-0.32,0.32,-1.21,0.14,0.08,-94.76,153.6,111.64,-23.82,153.6,defense,False,12,False,,False
2,8,93.48,25.06,0.65,-0.96,2.47,-4.0,0.3,0.0,-45.12,120.08,165.2,0.11,120.08,offense,False,6,False,,False
2,9,97.58,18.87,-0.0,-0.19,-0.16,-0.39,0.25,0.25,-66.55,-71.89,5.34,-102.94,-71.89,offense,False,14,False,,False
2,10,77.88,5.02,-0.0,0.34,-0.19,0.97,0.37,0.0,89.23,105.84,16.61,0.14,105.84,offense,True,11,False,,False
2,11,79.45,2.49,-0.16,0.71,-0.99,3.79,0.65,0.35,104.18,104.18,0.0,0.0,104.18,defense,False,10,False,,False
2,12,92.15,16.16,0.02,-0.24,-0.42,0.15,0.4,0.0,-73.02,-72.86,0.16,0.0,-72.86,offense,False,7,False,,False
2,13,93.16,19.52,-0.03,-0.14,0.14,-0.68,0.1,0.03,-153.38,173.36,33.25,-12.02,173.36,offense,False,5,False,,False
2,14,97.9,18.28,0.24,-0.53,1.26,-2.44,0.29,0.0,132.36,-107.37,120.28,0.09,-107.37,defense,False,9,False,,False
2,15,77.88,5.02,-0.0,0.34,-0.19,0.97,0.37,0.0,89.23,105.84,16.61,0.14,105.84,disc,False,0,False,,False
3,1,77.9,15.35,1.11,-1.96,4.81,-7.03,1.94,0.82,-75.97,-69.28,6.69,4.82,2.43,offense,False,2,False,,False
3,2,78.52,14.31,0.27,-1.3,1.27,-5.25,0.99,0.09,-78.47,118.63,162.89,-1.38,192.14,defense,False,1,False,,False
3,3,86.82,16.68,-0.11,0.02,-0.74,0.54,1.15,0.75,-69.29,-70.62,1.33,-2.46,-183.94,defense,False,4,False,,False
3,4,87.77,16.45,-0.21,0.22,-0.72,0.31,0.49,0.22,117.34,131.99,14.65,11.68,55.49,offense,False,3,False,,False
3,5,90.13,13.97,0.04,-0.13,0.15,-0.46,0.05,0.12,137.19,116.71,20.48,213.63,184.94,defense,False,13,False,,False
3,6,91.82,21.55,0.3,0.3,2.32,-1.52,2.86,1.72,111.39,116.4,5.01,7.54,6.11,defense,False,8,False,,False
3,7,91.14,19.84,0.1,-0.52,0.44,-1.98,0.17,0.17,-158.62,154.11,47.27,-63.86,0.51,defense,False,12,False,,False
