frame,id,x,y,vx,vy,ax,ay,v_mag,a_mag,v_angle,a_angle,diff_v_a_angle,diff_v_angle,diff_a_angle,class,holder,closest,selected,prev_holder,def_selected
0,1,26.89,25.33,0.69,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,6,False,,False
0,2,41.09,18.41,1.08,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,7,False,,False
0,3,39.9,22.11,0.85,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,8,False,,False
0,4,42.73,12.77,0.8,-0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,11,False,,False
0,5,38.72,13.6,0.66,-0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,9,False,,False
0,6,48.82,22.38,-1.02,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,1,False,,False
0,7,50.37,18.86,-0.35,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,2,False,,False
0,8,52.3,18.61,-0.1,-0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,3,False,,False
0,9,52.65,12.73,-0.32,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,5,False,,False
0,10,53.87,13.08,-0.43,-0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,12,False,,False
0,11,57.84,11.15,-0.37,-0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,4,False,,False
0,12,34.74,6.56,0.17,-0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,10,False,,False
0,13,43.41,5.08,-0.31,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,14,False,,False
0,14,46.43,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,13,False,,False
0,15,46.42,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disc,False,0,False,,False
1,1,26.98,25.34,1.06,-0.1,3.71,-0.87,1.06,0.0,18.95,0.0,18.95,18.95,0.0,offense,False,6,False,,False
1,2,41.23,18.37,1.71,-0.4,6.28,-1.27,2.09,0.0,40.47,0.0,40.47,40.47,0.0,offense,False,7,False,,False
1,3,40.01,22.22,1.36,1.2,5.06,4.92,4.08,0.0,68.74,0.0,68.74,68.74,0.0,offense,False,8,False,,False
1,4,42.84,12.73,1.24,-0.49,4.42,-1.6,0.88,0.0,9.55,0.0,9.55,9.55,0.0,offense,False,11,False,,False
1,5,38.81,13.49,1.08,-1.16,4.2,-3.68,1.34,0.0,-46.72,0.0,46.72,-46.72,0.0,offense,False,9,False,,False
1,6,48.69,22.34,-1.61,-0.22,-5.9,0.06,2.5,0.0,122.5,0.0,122.5,122.5,0.0,defense,False,1,False,,False
