frame,id,x,y,vx,vy,ax,ay,v_mag,a_mag,v_angle,a_angle,diff_v_a_angle,diff_v_angle,diff_a_angle,class,holder,closest,selected,prev_holder,def_selected
0,1,71.0,29.46,-0.28,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,2,False,,False
0,2,71.99,28.4,0.3,-1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,1,False,,False
0,3,68.71,7.54,-0.85,-1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,8,False,,False
0,4,63.92,7.94,0.41,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,6,False,,False
0,5,72.86,5.45,-0.43,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,7,False,,False
0,6,56.74,10.5,-0.17,-0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,4,False,,False
0,7,68.49,5.73,-0.48,-1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,True,5,False,,False
0,8,73.8,8.26,-1.43,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,3,False,,False
0,9,73.81,14.71,-1.14,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,10,False,,False
0,10,75.23,16.67,-0.82,-1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,9,False,,False
0,11,59.44,17.45,0.24,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,12,False,,False
0,12,56.93,19.2,-0.25,-0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,11,False,,False
0,13,78.99,18.09,-0.79,-0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,14,False,,False
0,14,81.43,16.79,-0.36,-1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,13,False,,False
0,15,68.49,5.73,-0.48,-1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disc,False,0,False,,False
1,1,70.96,29.48,-0.42,0.14,-1.37,-0.35,0.51,0.0,175.82,0.0,175.82,175.82,0.0,defense,False,2,False,,False
1,2,72.04,28.2,0.42,-1.99,1.15,-6.27,2.39,0.0,-71.72,0.0,71.72,-71.72,0.0,offense,False,1,False,,False
1,3,68.59,7.22,-1.32,-1.98,-4.7,-3.11,7.44,0.0,-101.91,0.0,101.91,-101.91,0.0,offense,False,8,False,,False
1,4,63.98,7.83,0.58,-1.59,1.76,-5.86,3.68,0.0,-74.03,0.0,74.03,-74.03,0.0,offense,False,6,False,,False
1,5,72.79,5.47,-0.6,-0.64,-1.69,-4.27,1.24,0.0,-118.32,0.0,118.32,-118.32,0.0,defense,False,7,False,,False
1,6,56.72,10.45,-0.24,-0.75,-0.72,-2.95,0.66,0.0,-120.01,0.0,120.01,-120.01,0.0,defense,False,4,False,,False
1,7,68.42,5.48,-0.76,-2.01,-2.75,-4.02,4.53,0.0,-101.95,0.0,101.95,-101.95,0.0,offense,True,5,False,,False
1,8,73.6,8.24,-2.11,-0.48,-6.8,-3.05,3.21,0.0,-138.14,0.0,138.14,-138.14,0.0,defense,False,3,False,,False
1,9,73.65,14.79,-1.73,0.84,-5.95,2.93,1.98,0.0,171.29,0.0,171.29,171.29,0.0,offense,False,10,False,,False
1,10,75.11,16.51,-1.29,-1.96,-4.71,-5.91,2.29,0.0,173.01,0.0,173.01,173.01,0.0,defense,False,9,False,,False
1,11,59.48,17.41,0.29,-0.43,0.45,-1.26,0.83,0.0,-33.79,0.0,33.79,-33.79,0.0,offense,False,12,False,,False
1,12,56.9,19.12,-0.41,-1.17,-1.57,-4.54,0.89,0.0,-105.16,0.0,105.16,-105.16,0.0,defense,False,11,False,,False
1,13,78.88,18.02,-1.19,-0.93,-3.95,-3.33,1.56,0.0,-148.86,0.0,148.86,-148.86,0.0,defense,False,14,False,,False
1,14,81.38,16.59,-0.63,-1.72,-2.65,-4.03,2.02,0.0,-108.75,0.0,108.75,-108.75,0.0,offense,False,13,False,,False
1,15,68.42,5.48,-0.76,-2.01,-2.75,-4.02,4.53,0.0,-101.95,0.0,101.95,-101.95,0.0,disc,False,0,False,,False
2,1,70.92,29.52,-0.53,0.05,-1.07,-0.92,0.49,0.13,-169.45,-79.13,90.32,-345.27,-79.13,defense,False,2,False,,False
2,2,72.09,27.99,0.47,-2.49,0.48,-5.03,1.78,0.63,-75.66,119.53,164.81,-3.94,119.53,offense,False,1,False,,False
2,3,68.46,7.04,-1.71,-1.51,-3.89,4.7,5.25,2.25,-107.05,90.17,162.77,-5.15,90.17,offense,False,8,False,,False
2,4,64.05,7.64,0.67,-1.83,0.83,-2.41,2.24,1.46,-69.54,99.07,168.61,4.48,99.07,offense,False,6,False,,False
2,5,72.73,5.39,-0.72,-1.05,-1.26,-4.15,1.43,0.19,-119.06,-123.89,4.82,-0.75,-123.89,defense,False,7,False,,False
2,6,56.69,10.37,-0.29,-1.0,-0.45,-2.44,1.57,0.96,-101.7,-89.3,12.4,18.31,-89.3,defense,False,4,False,,False
2,7,68.35,5.24,-0.95,-2.05,-1.92,-0.39,4.02,0.61,-106.3,108.13,145.57,-4.35,108.13,offense,True,5,False,,False
2,8,73.37,8.21,-2.65,-0.6,-5.36,-1.18,3.01,3.12,161.65,98.62,63.03,299.78,98.62,defense,False,3,False,,False
2,9,73.47,14.87,-2.17,0.95,-4.36,1.11,3.5,2.27,133.98,102.09,31.89,-37.31,102.09,offense,False,10,False,,False
2,10,74.99,16.26,-1.61,-2.62,-3.24,-6.57,2.36,1.81,-141.19,-75.88,65.31,-314.2,-75.88,defense,False,9,False,,False
2,11,59.51,17.36,0.25,-0.45,-0.44,-0.19,0.76,0.3,-54.76,-147.2,92.44,-20.97,-147.2,offense,False,12,False,,False
2,12,56.86,18.99,-0.59,-1.49,-1.76,-3.28,1.25,0.36,-108.79,-117.81,9.02,-3.63,-117.81,defense,False,11,False,,False
2,13,78.76,17.91,-1.51,-1.19,-3.28,-2.59,2.1,0.6,-140.83,-119.45,21.39,8.02,-119.45,defense,False,14,False,,False
2,14,81.32,16.4,-0.88,-1.94,-2.52,-2.25,2.79,0.84,-100.96,-82.0,18.96,7.79,-82.0,offense,False,13,False,,False
2,15,68.35,5.24,-0.95,-2.05,-1.92,-0.39,4.02,0.61,-106.3,108.13,145.57,-4.35,108.13,disc,False,0,False,,False
3,1,70.83,29.52,-0.74,-0.14,-2.17,-1.9,1.29,1.01,145.29,125.13,20.16,314.74,204.26,defense,False,2,False,,False
3,2,72.16,27.6,0.56,-3.51,0.96,-10.17,6.11,4.33,-77.72,-78.56,0.85,-2.06,-198.09,offense,False,1,False,,False
3,3,68.18,6.74,-2.47,-0.9,-7.62,6.1,7.69,2.55,-114.05,-128.59,14.53,-7.0,-218.76,offense,False,8,False,,False
3,4,64.16,7.31,0.85,-2.35,1.83,-5.18,2.39,0.73,-51.88,17.11,68.98,17.67,-81.96,offense,False,6,False,,False
3,5,72.62,5.2,-1.03,-1.56,-3.12,-5.05,2.72,3.43,133.84,110.29,23.55,252.9,234.18,defense,False,7,False,,False
3,6,56.65,10.2,-0.39,-1.43,-0.98,-4.29,1.17,0.71,-126.77,122.71,110.52,-25.07,212.01,defense,False,4,False,,False
3,7,68.19,4.92,-1.29,-2.28,-3.46,-2.36,5.99,1.97,-106.87,-108.05,1.17,-0.58,-216.17,offense,True,5,False,,False
3,8,72.95,8.07,-3.75,-0.74,-10.96,-1.36,5.37,3.06,-170.31,-142.77,27.54,-331.95,-241.39,defense,False,3,False,,False
3,9,73.12,15.04,-3.02,1.04,-8.5,0.87,4.45,1.83,156.8,-155.18,48.02,22.82,-257.28,offense,False,10,False,,False
3,10,74.72,15.88,-2.27,-3.86,-6.57,-12.4,6.32,4.29,-116.76,-103.62,13.14,24.43,-27.74,defense,False,9,False,,False
3,11,59.56,17.28,0.19,-0.54,-0.51,-0.93,1.54,0.8,-44.6,-34.86,9.74,10.16,112.34,offense,False,12,False,,False
3,12,56.77,18.74,-0.92,-2.06,-3.35,-5.68,2.57,1.33,-110.03,-111.19,1.16,-1.23,6.62,defense,False,11,False,,False
3,13,78.52,17.72,-2.14,-1.63,-6.27,-4.4,3.49,1.44,-149.1,-161.18,12.09,-8.26,-41.74,defense,False,14,False,,False
3,14,81.18,16.1,-1.38,-2.41,-4.94,-4.64,5.64,2.85,-103.6,-106.19,2.59,-2.64,-24.19,offense,False,13,False,,False
3,15,68.19,4.92,-1.29,-2.28,-3.46,-2.36,5.99,1.97,-106.87,-108.05,1.17,-0.58,-216.17,disc,False,0,False,,False
4,1,70.74,29.49,-0.9,-0.51,-1.6,-3.66,1.69,0.53,131.96,97.52,34.44,-13.33,-27.6,defense,False,2,False,,False
4,2,72.23,27.15,0.46,-4.03,-0.98,-5.22,4.78,1.34,-79.73,109.48,170.79,-2.01,188.04,offense,False,1,False,,False
4,3,67.86,6.78,-3.04,0.78,-5.65,16.84,3.43,7.57,170.89,91.91,78.98,284.95,220.5,offense,False,8,False,,False
4,4,64.26,7.03,0.87,-2.66,0.17,-3.1,6.26,4.21,-76.61,-90.38,13.77,-24.73,-107.48,offense,False,6,False,,False
4,5,72.5,4.92,-1.23,-2.22,-1.99,-6.59,4.89,6.71,-105.44,-85.0,20.43,-239.27,-195.29,defense,False,7,False,,False
4,6,56.6,10.0,-0.42,-1.85,-0.31,-4.26,2.63,1.64,-101.7,-84.14,17.55,25.07,-206.85,defense,False,4,False,,False
4,7,68.02,4.7,-1.5,-1.6,-2.07,6.8,4.81,1.21,-109.55,83.85,166.6,-2.67,191.9,offense,True,5,False,,False
4,8,72.47,7.97,-4.48,-0.74,-7.34,-0.03,5.56,0.32,-172.93,136.28,50.79,-2.62,279.05,defense,False,3,False,,False
4,9,72.73,15.18,-3.55,0.85,-5.32,-1.95,4.53,0.62,164.7,-116.44,78.86,7.9,38.75,offense,False,10,False,,False
4,10,74.43,15.36,-2.76,-4.65,-4.91,-7.92,7.98,1.9,-109.27,-83.54,25.72,7.49,20.07,defense,False,9,False,,False
4,11,59.56,17.23,-0.06,-0.54,-2.55,-0.02,1.28,0.67,-70.29,-169.13,98.84,-25.69,-134.27,offense,False,12,False,,False
4,12,56.64,18.46,-1.25,-2.43,-3.33,-3.71,3.91,1.33,-109.89,-109.64,0.26,0.13,1.55,defense,False,11,False,,False
4,13,78.24,17.5,-2.56,-1.9,-4.24,-2.76,4.12,1.25,-132.73,-81.09,51.64,16.37,80.1,defense,False,14,False,,False
4,14,80.99,15.82,-1.89,-2.21,-5.15,1.97,4.18,1.7,-113.72,102.02,144.27,-10.11,208.21,offense,False,13,False,,False
4,15,68.02,4.7,-1.5,-1.6,-2.07,6.8,4.81,1.21,-109.55,83.85,166.6,-2.67,191.9,disc,False,0,False,,False
5,1,70.63,29.39,-1.1,-1.13,-1.93,-6.23,2.01,3.02,-118.79,-86.86,31.93,-250.75,-184.38,defense,False,2,False,,False
5,2,72.28,26.64,0.29,-4.58,-1.77,-5.43,4.71,0.38,-84.25,177.76,97.99,-4.52,68.28,offense,False,1,False,,False
5,3,67.47,7.09,-3.59,2.25,-5.58,14.63,5.84,3.72,133.97,100.38,33.6,-36.92,8.46,offense,False,8,False,,False
5,4,64.35,6.77,0.81,-2.46,-0.56,1.95,3.22,3.05,-75.07,101.77,176.84,1.54,192.15,offense,False,6,False,,False
5,5,72.34,4.67,-1.48,-2.63,-2.43,-4.12,4.63,0.33,-103.01,38.08,141.09,2.43,123.08,defense,False,7,False,,False
5,6,56.55,9.79,-0.44,-2.26,-0.23,-4.08,2.61,0.12,-99.18,-0.83,98.36,2.52,83.32,defense,False,4,False,,False
5,7,67.85,4.58,-1.68,-0.75,-1.82,8.48,3.52,7.07,135.18,97.2,37.98,244.72,13.34,offense,True,5,False,,False
