frame,id,x,y,vx,vy,ax,ay,v_mag,a_mag,v_angle,a_angle,diff_v_a_angle,diff_v_angle,diff_a_angle,class,holder,closest,selected,prev_holder,def_selected
0,1,72.33,38.62,0.02,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,2,False,,False
0,2,73.56,39.95,0.01,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,1,False,,False
0,3,70.46,32.52,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,5,False,,False
0,4,74.3,24.4,-0.01,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,6,False,,False
0,5,68.74,29.57,0.02,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,3,False,,False
0,6,70.92,17.44,-0.04,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,4,False,,False
0,7,68.14,20.16,0.03,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,8,False,,False
0,8,65.49,19.02,0.03,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,7,False,,False
0,9,62.91,22.51,0.03,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,10,False,,False
0,10,62.14,18.18,0.04,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,9,False,,False
0,11,56.55,36.63,-0.01,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,12,False,,False
0,12,55.62,33.8,-0.02,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,11,False,,False
0,13,54.31,46.06,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,True,14,False,,False
0,14,54.62,45.37,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,13,False,,False
0,15,54.31,46.06,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disc,False,0,False,,False
1,1,72.33,38.62,0.04,-0.04,0.25,-0.17,0.07,0.0,-63.7,0.0,63.7,-63.7,0.0,offense,False,2,False,,False
1,2,73.56,39.95,0.03,-0.02,0.18,-0.2,0.02,0.0,30.83,0.0,30.83,30.83,0.0,defense,False,1,False,,False
1,3,70.46,32.52,0.03,-0.01,0.11,-0.1,0.01,0.0,10.62,0.0,10.62,10.62,0.0,defense,False,5,False,,False
1,4,74.3,24.4,-0.01,-0.04,-0.03,-0.25,0.01,0.0,-146.78,0.0,146.78,-146.78,0.0,defense,False,6,False,,False
1,5,68.75,29.58,0.04,0.12,0.21,0.42,0.15,0.0,81.67,0.0,81.67,81.67,0.0,offense,False,3,False,,False
1,6,70.92,17.43,-0.11,0.18,-0.66,1.98,0.08,0.0,-146.11,0.0,146.11,-146.11,0.0,offense,False,4,False,,False
1,7,68.14,20.18,0.05,0.16,0.23,0.48,0.35,0.0,92.0,0.0,92.0,92.0,0.0,defense,False,8,False,,False
1,8,65.49,19.01,0.08,-0.45,0.45,-3.33,0.12,0.0,-74.83,0.0,74.83,-74.83,0.0,offense,False,7,False,,False
1,9,62.92,22.5,0.07,-0.1,0.33,-0.21,0.08,0.0,-107.19,0.0,107.19,-107.19,0.0,defense,False,10,False,,False
1,10,62.14,18.22,0.08,0.56,0.39,2.11,0.38,0.0,86.75,0.0,86.75,86.75,0.0,offense,False,9,False,,False
1,11,56.55,36.63,-0.02,-0.04,-0.09,-0.07,0.05,0.0,-101.84,0.0,101.84,-101.84,0.0,defense,False,12,False,,False
1,12,55.61,33.8,-0.03,-0.02,-0.12,-0.07,0.03,0.0,-150.2,0.0,150.2,-150.2,0.0,offense,False,11,False,,False
1,13,54.31,46.06,0.0,-0.0,0.01,-0.0,0.0,0.0,-15.7,0.0,15.7,-15.7,0.0,offense,True,14,False,,False
1,14,54.62,45.37,0.0,-0.0,0.01,-0.0,0.0,0.0,-15.48,0.0,15.48,-15.48,0.0,defense,False,13,False,,False
1,15,54.31,46.06,0.0,-0.0,0.01,-0.0,0.0,0.0,-15.7,0.0,15.7,-15.7,0.0,disc,False,0,False,,False
2,1,72.33,38.62,0.09,-0.07,0.43,-0.27,0.07,0.0,-64.14,-77.36,13.21,-0.45,-77.36,offense,False,2,False,,False
2,2,73.56,39.95,0.06,-0.04,0.24,-0.19,0.02,0.0,30.82,-147.26,178.08,-0.01,-147.26,defense,False,1,False,,False
2,3,70.46,32.52,0.04,-0.01,0.11,-0.03,0.01,0.0,19.11,108.08,88.97,8.49,108.08,defense,False,5,False,,False
2,4,74.29,24.4,-0.02,-0.07,-0.08,-0.27,0.01,0.0,-146.8,-147.94,1.13,-0.02,-147.94,defense,False,6,False,,False
2,5,68.75,29.6,0.07,0.14,0.31,0.17,0.15,0.0,82.09,103.37,21.28,0.42,103.37,offense,False,3,False,,False
2,6,70.91,17.43,-0.19,0.48,-0.85,3.02,0.08,0.0,-146.12,-146.93,0.82,-0.0,-146.93,offense,False,4,False,,False
2,7,68.15,20.2,0.08,0.19,0.26,0.31,0.4,0.09,80.81,32.93,47.89,-11.19,32.93,defense,False,8,False,,False
2,8,65.5,18.99,0.13,-0.7,0.53,-2.52,0.11,0.0,-74.63,98.12,172.75,0.2,98.12,offense,False,7,False,,False
2,9,62.92,22.49,0.12,-0.14,0.53,-0.38,0.08,0.0,-107.43,93.64,158.93,-0.24,93.64,defense,False,10,False,,False
2,10,62.15,18.28,0.14,0.76,0.52,2.03,0.38,0.0,86.78,90.76,3.98,0.03,90.76,offense,False,9,False,,False
2,11,56.55,36.62,-0.03,-0.03,-0.11,0.1,0.05,0.0,-101.85,78.54,179.61,-0.01,78.54,defense,False,12,False,,False
2,12,55.61,33.8,-0.04,-0.03,-0.14,-0.08,0.03,0.0,-147.63,-81.22,66.4,2.57,-81.22,offense,False,11,False,,False
2,13,54.31,46.06,0.0,-0.0,0.01,-0.0,0.0,0.0,-15.7,0.0,15.7,0.0,0.0,offense,True,14,False,,False
2,14,54.62,45.37,0.0,-0.0,0.01,-0.0,0.0,0.0,-15.55,-18.43,2.89,-0.07,-18.43,defense,False,13,False,,False
2,15,54.31,46.06,0.0,-0.0,0.01,-0.0,0.0,0.0,-15.7,0.0,15.7,0.0,0.0,disc,False,0,False,,False
3,1,72.34,38.61,0.17,-0.1,0.83,-0.33,0.14,0.07,-63.7,-63.22,0.47,0.45,14.13,offense,False,2,False,,False
3,2,73.57,39.94,0.1,-0.05,0.41,-0.14,0.05,0.02,30.83,30.84,0.01,0.01,178.11,defense,False,1,False,,False
3,3,70.47,32.52,0.06,-0.02,0.22,-0.05,0.07,0.06,28.29,30.61,2.31,9.18,-77.48,defense,False,5,False,,False
3,4,74.29,24.39,-0.04,-0.09,-0.26,-0.18,0.03,0.01,-146.8,-146.81,0.0,-0.0,1.13,defense,False,6,False,,False
3,5,68.76,29.62,0.12,0.17,0.57,0.28,0.3,0.15,81.89,81.68,0.21,-0.2,-21.69,offense,False,3,False,,False
3,6,70.88,17.51,-0.35,0.99,-1.54,5.06,0.16,0.08,-146.11,-146.11,0.0,0.0,0.82,offense,False,4,False,,False
3,7,68.16,20.23,0.13,0.25,0.51,0.59,0.34,0.06,77.72,-82.84,160.56,-3.09,-115.76,defense,False,8,False,,False
3,8,65.52,18.84,0.23,-1.11,0.96,-4.11,0.46,0.35,-74.15,-74.0,0.15,0.48,-172.12,offense,False,7,False,,False
3,9,62.94,22.47,0.23,-0.2,1.16,-0.67,0.32,0.26,-67.37,-55.99,11.38,40.06,-149.63,defense,False,10,False,,False
3,10,62.17,18.4,0.25,1.14,1.11,3.84,1.31,0.93,82.75,81.1,1.65,-4.03,-9.66,offense,False,9,False,,False
3,11,56.54,36.62,-0.06,-0.01,-0.3,0.2,0.12,0.07,-112.14,-118.84,6.7,-10.29,-197.37,defense,False,12,False,,False
3,12,55.6,33.79,-0.07,-0.04,-0.32,-0.14,0.08,0.05,-147.69,-147.73,0.04,-0.06,-66.5,offense,False,11,False,,False
3,13,54.31,46.06,0.0,-0.0,0.01,-0.0,0.01,0.0,-15.7,-15.7,0.0,0.0,-15.7,offense,True,14,False,,False
3,14,54.62,45.37,0.01,-0.0,0.01,-0.0,0.01,0.0,-15.49,-15.43,0.06,0.06,3.0,defense,False,13,False,,False
3,15,54.31,46.06,0.0,-0.0,0.01,-0.0,0.01,0.0,-15.7,-15.7,0.0,0.0,-15.7,disc,False,0,False,,False
4,1,72.37,38.59,0.28,-0.11,1.13,-0.04,0.09,0.13,2.33,77.72,75.39,66.02,140.95,offense,False,2,False,,False
4,2,73.58,39.93,0.15,-0.04,0.5,0.1,0.13,0.13,-43.83,-64.6,20.77,-74.66,-95.44,defense,False,1,False,,False
4,3,70.48,32.52,0.08,-0.02,0.24,-0.04,0.11,0.1,-35.85,-72.27,36.42,-64.14,-102.87,defense,False,5,False,,False
4,4,74.29,24.37,-0.08,-0.16,-0.34,-0.77,0.19,0.17,-97.21,-89.68,7.53,49.6,57.13,defense,False,6,False,,False
4,5,68.78,29.64,0.2,0.15,0.78,-0.11,0.31,0.07,68.23,-4.78,73.0,-13.66,-86.45,offense,False,3,False,,False
4,6,70.83,17.68,-0.54,1.66,-1.9,6.7,0.23,0.12,-176.16,140.76,43.08,-30.04,286.87,offense,False,4,False,,False
4,7,68.18,20.26,0.2,0.29,0.66,0.39,0.37,0.16,52.11,-15.3,67.41,-25.61,67.54,defense,False,8,False,,False
4,8,65.55,18.67,0.34,-1.56,1.12,-4.46,0.7,0.24,-73.9,-73.41,0.5,0.25,0.59,offense,False,7,False,,False
4,9,62.97,22.44,0.4,-0.21,1.61,-0.08,0.52,0.22,-55.49,-37.84,17.65,11.89,18.16,defense,False,10,False,,False
4,10,62.21,18.56,0.39,1.45,1.48,3.06,1.85,0.54,81.08,77.04,4.05,-1.67,-4.06,offense,False,9,False,,False
4,11,56.54,36.62,-0.11,0.04,-0.48,0.47,0.15,0.03,-119.0,-147.67,28.67,-6.86,-28.83,defense,False,12,False,,False
4,12,55.59,33.79,-0.12,-0.05,-0.42,-0.08,0.09,0.01,-148.02,-149.85,1.83,-0.34,-2.13,offense,False,11,False,,False
4,13,54.31,46.06,0.0,-0.0,0.01,-0.0,0.01,0.0,-15.69,-15.26,0.43,0.01,0.44,offense,True,14,False,,False
4,14,54.62,45.37,0.01,-0.0,0.01,-0.0,0.01,0.0,-15.49,164.74,179.76,-0.01,180.18,defense,False,13,False,,False
4,15,54.31,46.06,0.0,-0.0,0.01,-0.0,0.01,0.0,-15.69,-15.26,0.43,0.01,0.44,disc,False,0,False,,False
5,1,72.41,38.57,0.44,-0.11,1.55,-0.04,0.43,0.36,-30.62,-38.54,7.92,-32.95,-116.26,offense,False,2,False,,False
5,2,73.61,39.92,0.21,0.01,0.58,0.58,0.45,0.32,-54.43,-58.68,4.24,-10.6,5.92,defense,False,1,False,,False
5,3,70.49,32.51,0.11,-0.01,0.26,0.07,0.21,0.11,-53.24,-72.26,19.02,-17.39,0.0,defense,False,5,False,,False
5,4,74.27,24.36,-0.13,-0.28,-0.53,-1.16,0.36,0.17,-93.63,-89.69,3.94,3.58,-0.01,defense,False,6,False,,False
