frame,id,x,y,vx,vy,ax,ay,v_mag,a_mag,v_angle,a_angle,diff_v_a_angle,diff_v_angle,diff_a_angle,class,holder,closest,selected,prev_holder,def_selected
0,1,42.78,31.18,-0.11,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,9,False,,False
0,2,44.58,25.6,-0.13,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,10,False,,False
0,3,39.81,16.43,-0.05,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,12,False,,False
0,4,45.72,11.36,-0.11,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,8,False,,False
0,5,31.21,31.07,-0.23,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,13,False,,False
0,6,27.05,19.95,-0.44,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,11,False,,False
0,7,29.08,17.39,-0.12,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,14,False,,False
0,8,26.9,7.5,-0.54,-1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,4,False,,False
0,9,29.9,34.89,0.01,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,1,False,,False
0,10,33.32,22.31,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,2,False,,False
0,11,11.08,21.03,-0.11,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,6,False,,False
0,12,31.65,15.26,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,3,False,,False
0,13,3.44,30.51,0.01,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,5,False,,False
0,14,1.8,15.71,-0.46,-0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,True,7,False,,False
0,15,1.8,15.71,-0.46,-0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disc,False,0,False,,False
1,1,42.78,31.21,-0.25,0.35,-1.4,1.05,0.49,0.0,81.71,0.0,81.71,81.71,0.0,defense,False,9,False,,False
1,2,44.57,25.62,-0.28,0.13,-1.53,-0.17,0.44,0.0,90.99,0.0,90.99,90.99,0.0,defense,False,10,False,,False
1,3,39.81,16.44,-0.12,0.09,-0.65,-0.03,0.34,0.0,90.28,0.0,90.28,90.28,0.0,defense,False,12,False,,False
1,4,45.72,11.4,-0.25,0.57,-1.4,2.24,0.07,0.0,-125.33,0.0,125.33,-125.33,0.0,defense,False,8,False,,False
1,5,31.19,31.07,-0.48,-0.21,-2.51,-0.91,0.06,0.0,169.73,0.0,169.73,169.73,0.0,defense,False,13,False,,False
1,6,27.01,19.89,-0.74,-0.74,-2.98,-1.34,0.14,0.0,172.74,0.0,172.74,172.74,0.0,defense,False,11,False,,False
1,7,29.07,17.43,-0.37,0.63,-2.52,1.24,0.26,0.0,135.73,0.0,135.73,135.73,0.0,defense,False,14,False,,False
1,8,26.83,7.24,-0.77,-2.55,-2.31,-7.84,3.52,0.0,-107.06,0.0,107.06,-107.06,0.0,offense,False,4,False,,False
1,9,29.9,34.89,0.04,0.0,0.29,0.04,0.01,0.0,-11.18,0.0,11.18,-11.18,0.0,offense,False,1,False,,False
1,10,33.33,22.31,0.21,-0.0,0.95,-0.05,0.14,0.0,6.84,0.0,6.84,6.84,0.0,offense,False,2,False,,False
1,11,11.06,20.99,-0.13,-0.3,-0.21,-0.73,0.53,0.0,-117.29,0.0,117.29,-117.29,0.0,offense,False,6,False,,False
1,12,31.65,15.26,-0.04,-0.07,-0.29,-0.7,0.02,0.0,173.82,0.0,173.82,173.82,0.0,offense,False,3,False,,False
1,13,3.43,30.51,0.07,-0.02,0.58,0.11,0.05,0.0,1.31,0.0,1.31,1.31,0.0,offense,False,5,False,,False
1,14,1.73,15.62,-0.59,-0.73,-1.26,-1.5,1.96,0.0,-128.37,0.0,128.37,-128.37,0.0,offense,True,7,False,,False
1,15,1.73,15.62,-0.59,-0.73,-1.26,-1.5,1.96,0.0,-128.37,0.0,128.37,-128.37,0.0,disc,False,0,False,,False
2,1,42.75,31.25,-0.45,0.39,-2.01,0.33,0.51,0.11,94.59,168.64,74.05,12.88,168.64,defense,False,9,False,,False
2,2,44.55,25.64,-0.5,0.07,-2.13,-0.51,0.44,0.0,91.03,-98.67,170.3,0.04,-98.67,defense,False,10,False,,False
2,3,39.8,16.46,-0.2,0.05,-0.87,-0.38,0.34,0.0,90.05,73.62,16.43,-0.23,73.62,defense,False,12,False,,False
2,4,45.69,11.46,-0.44,0.76,-1.97,1.9,0.5,0.56,83.75,80.31,3.44,209.07,80.31,defense,False,8,False,,False
2,5,31.14,31.03,-0.82,-0.36,-3.44,-1.47,0.05,0.0,169.73,-9.67,179.4,-0.0,-9.67,defense,False,13,False,,False
2,6,26.91,19.77,-1.12,-0.89,-3.77,-1.51,0.14,0.0,172.74,175.43,2.68,0.0,175.43,defense,False,11,False,,False
2,7,29.04,17.54,-0.71,0.69,-3.41,0.63,0.28,0.02,133.81,106.57,27.24,-1.92,106.57,defense,False,14,False,,False
2,8,26.74,6.97,-0.9,-3.02,-1.29,-4.67,3.56,0.04,-107.06,-106.63,0.42,0.01,-106.63,offense,False,4,False,,False
2,9,29.9,34.89,0.1,0.04,0.57,0.36,0.01,0.0,-11.2,-13.06,1.86,-0.02,-13.06,offense,False,1,False,,False
2,10,33.36,22.31,0.3,-0.01,0.99,-0.12,0.14,0.01,8.95,76.16,67.21,2.11,76.16,offense,False,2,False,,False
2,11,11.04,20.96,-0.14,-0.35,-0.09,-0.51,0.58,0.05,-117.33,-117.74,0.42,-0.04,-117.74,offense,False,6,False,,False
2,12,31.64,15.26,-0.08,-0.16,-0.4,-0.88,0.02,0.0,173.82,174.47,0.65,0.0,174.47,offense,False,3,False,,False
2,13,3.44,30.5,0.15,0.01,0.81,0.27,0.03,0.02,1.31,-178.69,180.0,0.0,-178.69,offense,False,5,False,,False
2,14,1.66,15.54,-0.53,-0.65,0.59,0.85,1.98,0.02,-128.37,-128.89,0.52,-0.01,-128.89,offense,True,7,False,,False
2,15,1.66,15.54,-0.53,-0.65,0.59,0.85,1.98,0.02,-128.37,-128.89,0.52,-0.01,-128.89,disc,False,0,False,,False
3,1,42.68,31.32,-0.83,0.5,-3.8,1.19,0.74,0.25,105.56,128.1,22.54,10.97,-40.54,defense,False,9,False,,False
3,2,44.47,25.65,-0.92,-0.07,-4.26,-1.4,0.79,0.51,127.02,157.62,30.6,35.99,256.29,defense,False,10,False,,False
3,3,39.77,16.46,-0.37,-0.02,-1.71,-0.62,0.3,0.18,121.85,-150.24,87.91,31.79,-223.86,defense,False,12,False,,False
3,4,45.62,11.58,-0.83,1.09,-3.91,3.29,1.33,0.85,96.55,104.06,7.51,12.81,23.76,defense,False,8,False,,False
3,5,31.02,30.98,-1.49,-0.61,-6.69,-2.53,0.45,0.4,-177.87,-176.17,1.69,-347.6,-166.5,defense,False,13,False,,False
3,6,26.75,19.65,-1.93,-1.35,-8.15,-4.61,2.91,2.86,-120.48,-117.97,2.51,-293.22,-293.39,defense,False,11,False,,False
3,7,28.93,17.64,-1.3,1.03,-5.93,3.44,1.58,1.36,99.37,92.72,6.65,-34.44,-13.85,defense,False,14,False,,False
3,8,26.6,6.48,-1.16,-3.96,-2.62,-9.43,7.12,3.56,-107.06,-107.07,0.0,-0.0,-0.43,offense,False,4,False,,False
3,9,29.91,34.89,0.22,0.09,1.18,0.53,0.03,0.01,-11.19,-11.18,0.01,0.01,1.88,offense,False,1,False,,False
