frame,id,x,y,vx,vy,ax,ay,v_mag,a_mag,v_angle,a_angle,diff_v_a_angle,diff_v_angle,diff_a_angle,class,holder,closest,selected,prev_holder,def_selected
0,1,56.47,36.08,-0.26,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,5,False,,False
0,2,51.75,16.49,-0.17,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,8,False,,False
0,3,49.7,35.51,-0.12,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,6,False,,False
0,4,47.95,22.28,-0.2,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,7,False,,False
0,5,57.15,36.67,-0.3,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,1,False,,False
0,6,48.88,38.13,-0.23,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,3,False,,False
0,7,49.54,15.54,-0.18,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,4,False,,False
0,8,53.44,14.64,-0.27,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,2,False,,False
0,9,57.14,39.24,-0.27,-0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,10,False,,False
0,10,59.24,39.81,-0.45,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,9,False,,False
0,11,66.04,25.76,0.03,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,12,False,,False
0,12,72.45,21.34,-0.17,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,11,False,,False
0,13,68.73,37.47,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,14,False,,False
0,14,69.77,37.68,-0.06,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,True,13,False,,False
0,15,69.77,37.68,-0.06,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disc,False,0,False,,False
1,1,56.44,36.12,-0.45,0.46,-1.92,1.14,0.47,0.0,139.52,0.0,139.52,139.52,0.0,defense,False,5,False,,False
1,2,51.73,16.51,-0.3,0.33,-1.34,1.31,0.21,0.0,-174.24,0.0,174.24,-174.24,0.0,defense,False,8,False,,False
1,3,49.69,35.51,-0.24,0.15,-1.17,0.79,0.02,0.0,167.58,0.0,167.58,167.58,0.0,defense,False,6,False,,False
1,4,47.93,22.32,-0.34,0.52,-1.46,1.91,0.29,0.0,110.84,0.0,110.84,110.84,0.0,defense,False,7,False,,False
1,5,57.12,36.7,-0.52,0.25,-2.24,0.38,0.27,0.0,176.46,0.0,176.46,176.46,0.0,offense,False,1,False,,False
1,6,48.85,38.12,-0.41,-0.12,-1.8,-0.09,0.38,0.0,-127.12,0.0,127.12,-127.12,0.0,offense,False,3,False,,False
1,7,49.53,15.56,-0.32,0.42,-1.47,2.21,1.96,0.0,102.25,0.0,102.25,102.25,0.0,offense,False,4,False,,False
1,8,53.41,14.69,-0.47,0.72,-1.94,2.19,0.43,0.0,126.82,0.0,126.82,126.82,0.0,offense,False,2,False,,False
1,9,57.11,39.16,-0.52,-0.75,-2.45,-1.23,1.01,0.0,-112.07,0.0,112.07,-112.07,0.0,offense,False,10,False,,False
1,10,59.18,39.78,-0.72,-0.04,-2.76,0.12,0.96,0.0,-159.11,0.0,159.11,-159.11,0.0,defense,False,9,False,,False
1,11,66.04,25.82,0.06,0.79,0.35,2.84,0.92,0.0,89.59,0.0,89.59,89.59,0.0,defense,False,12,False,,False
1,12,72.43,21.4,-0.28,0.57,-1.02,1.65,0.5,0.0,111.36,0.0,111.36,111.36,0.0,offense,False,11,False,,False
1,13,68.73,37.47,-0.0,0.01,-0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,14,False,,False
1,14,69.76,37.68,-0.11,0.03,-0.43,0.3,0.17,0.0,-149.18,0.0,149.18,-149.18,0.0,offense,True,13,False,,False
1,15,69.76,37.68,-0.11,0.03,-0.43,0.3,0.17,0.0,-149.18,0.0,149.18,-149.18,0.0,disc,False,0,False,,False
2,1,56.39,36.18,-0.66,0.56,-2.03,1.04,0.34,0.3,179.55,-87.16,93.29,40.03,-87.16,defense,False,5,False,,False
2,2,51.7,16.55,-0.44,0.45,-1.43,1.18,0.49,0.52,100.88,76.79,24.09,275.13,76.79,defense,False,8,False,,False
2,3,49.66,35.53,-0.38,0.24,-1.44,0.9,0.06,0.04,167.57,167.56,0.0,-0.01,167.56,defense,False,6,False,,False
2,4,47.89,22.38,-0.52,0.66,-1.74,1.46,0.25,0.23,161.76,-123.86,74.38,50.91,-123.86,defense,False,7,False,,False
2,5,57.06,36.74,-0.78,0.29,-2.6,0.41,0.36,0.1,170.58,154.13,16.44,-5.88,154.13,offense,False,1,False,,False
2,6,48.81,38.1,-0.61,-0.08,-2.03,0.36,0.55,0.77,122.21,94.67,27.54,249.33,94.67,offense,False,3,False,,False
2,7,49.49,15.6,-0.47,0.52,-1.43,0.99,0.86,1.09,101.06,-76.8,177.85,-1.2,-76.8,offense,False,4,False,,False
2,8,53.36,14.79,-0.68,0.91,-2.14,1.92,1.21,0.83,103.52,91.86,11.66,-23.31,91.86,offense,False,2,False,,False
2,9,57.06,39.05,-0.75,-0.82,-2.27,-0.68,0.85,0.25,-124.3,113.74,121.95,-12.24,113.74,offense,False,10,False,,False
2,10,59.1,39.79,-0.98,-0.03,-2.58,0.02,0.91,0.06,-160.49,43.63,155.88,-1.38,43.63,defense,False,9,False,,False
2,11,66.05,25.91,0.12,0.97,0.59,1.87,0.53,0.39,93.16,-95.28,171.56,3.57,-95.28,defense,False,12,False,,False
2,12,72.4,21.46,-0.39,0.76,-1.14,1.86,0.29,0.23,126.29,-87.93,145.79,14.93,-87.93,offense,False,11,False,,False
2,13,68.73,37.47,-0.01,-0.01,-0.04,-0.21,0.01,0.01,-149.25,-149.25,0.0,-149.25,-149.25,defense,False,14,False,,False
2,14,69.75,37.68,-0.14,0.07,-0.32,0.48,0.13,0.13,160.35,77.65,82.7,309.52,77.65,offense,True,13,False,,False
2,15,69.75,37.68,-0.14,0.07,-0.32,0.48,0.13,0.13,160.35,77.65,82.7,309.52,77.65,disc,False,0,False,,False
3,1,56.29,36.26,-1.07,0.85,-4.13,2.88,1.67,1.52,121.47,110.4,11.07,-58.08,197.57,defense,False,5,False,,False
3,2,51.63,16.62,-0.73,0.66,-2.87,2.06,0.74,0.48,140.97,-177.54,41.49,40.08,-254.33,defense,False,8,False,,False
3,3,49.6,35.57,-0.66,0.42,-2.8,1.78,0.43,0.37,167.56,167.56,0.0,-0.0,-0.0,defense,False,6,False,,False
3,4,47.82,22.49,-0.86,0.96,-3.42,2.97,1.56,1.4,114.99,107.6,7.39,-46.76,231.47,defense,False,7,False,,False
3,5,56.94,36.77,-1.28,0.45,-4.97,1.6,1.5,1.27,126.16,114.85,11.31,-44.42,-39.28,offense,False,1,False,,False
3,6,48.72,38.08,-0.99,-0.12,-3.78,-0.33,0.89,1.04,-148.61,-117.0,31.61,-270.81,-211.66,offense,False,3,False,,False
3,7,49.42,15.71,-0.75,0.78,-2.89,2.55,0.63,1.28,-141.97,-104.83,37.14,-243.02,-28.03,offense,False,4,False,,False
3,8,53.26,14.92,-1.11,1.29,-4.25,3.73,1.51,0.68,129.83,-178.86,51.31,26.31,-270.72,offense,False,2,False,,False
3,9,56.93,38.94,-1.16,-1.05,-4.09,-2.37,2.63,1.83,-108.26,-100.84,7.42,16.04,-214.58,offense,False,10,False,,False
