frame,id,x,y,vx,vy,ax,ay,v_mag,a_mag,v_angle,a_angle,diff_v_a_angle,diff_v_angle,diff_a_angle,class,holder,closest,selected,prev_holder,def_selected
0,1,54.87,18.37,0.43,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,9,False,,False
0,2,56.91,20.66,0.6,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,10,False,,False
0,3,60.63,26.59,0.53,-0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,5,False,,False
0,4,61.43,18.23,0.62,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,6,False,,False
0,5,72.94,25.08,-0.61,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,3,False,,False
0,6,75.4,23.75,-0.6,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,4,False,,False
0,7,64.97,23.68,0.99,-0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,11,False,,False
0,8,72.52,19.03,1.12,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,12,False,,False
0,9,73.25,25.63,-0.81,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,1,False,,False
0,10,73.04,24.67,-0.66,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,2,False,,False
0,11,81.17,26.85,-0.31,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,7,False,,False
0,12,91.52,22.96,0.07,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,False,8,False,,False
0,13,99.9,17.64,0.19,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offense,True,14,False,,False
0,14,76.49,10.24,0.75,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,defense,False,13,False,,False
0,15,99.9,17.64,0.19,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disc,False,0,False,,False
1,1,54.93,18.32,0.7,-0.13,2.74,1.26,0.73,0.0,51.57,0.0,51.57,51.57,0.0,defense,False,9,False,,False
1,2,56.98,20.67,0.96,0.23,3.62,1.5,0.46,0.0,28.59,0.0,28.59,28.59,0.0,defense,False,10,False,,False
1,3,60.7,26.55,0.84,-0.53,3.08,-1.99,0.78,0.0,17.64,0.0,17.64,17.64,0.0,defense,False,5,False,,False
1,4,61.51,18.31,0.98,0.77,3.61,2.82,0.79,0.0,-29.47,0.0,29.47,-29.47,0.0,defense,False,6,False,,False
1,5,72.86,25.1,-0.93,0.08,-3.25,-0.19,0.94,0.0,99.46,0.0,99.46,99.46,0.0,offense,False,3,False,,False
1,6,75.33,23.76,-0.95,0.31,-3.44,1.5,1.55,0.0,119.21,0.0,119.21,119.21,0.0,offense,False,4,False,,False
1,7,65.11,23.61,1.63,-0.72,6.4,-3.54,3.85,0.0,-28.49,0.0,28.49,-28.49,0.0,defense,False,11,False,,False
1,8,72.65,19.14,1.74,0.62,6.25,2.98,1.5,0.0,62.01,0.0,62.01,62.01,0.0,defense,False,12,False,,False
1,9,73.15,25.62,-1.29,-0.05,-4.79,0.46,0.86,0.0,137.4,0.0,137.4,137.4,0.0,offense,False,1,False,,False
1,10,72.95,24.67,-1.05,-0.09,-3.96,0.22,0.59,0.0,-167.01,0.0,167.01,-167.01,0.0,offense,False,2,False,,False
1,11,81.13,26.82,-0.49,-0.34,-1.81,-1.12,0.36,0.0,160.35,0.0,160.35,160.35,0.0,offense,False,7,False,,False
1,12,91.53,22.95,0.09,-0.07,0.23,-0.07,0.44,0.0,105.55,0.0,105.55,105.55,0.0,offense,False,8,False,,False
1,13,99.93,17.61,0.28,-0.27,0.95,-0.9,1.17,0.0,-52.8,0.0,52.8,-52.8,0.0,offense,True,14,False,,False
1,14,76.58,10.53,1.23,2.98,4.78,10.42,3.22,0.0,86.91,0.0,86.91,86.91,0.0,defense,False,13,False,,False
1,15,99.93,17.61,0.28,-0.27,0.95,-0.9,1.17,0.0,-52.8,0.0,52.8,-52.8,0.0,disc,False,0,False,,False
2,1,55.0,18.3,0.98,-0.11,2.81,0.2,1.04,1.35,-46.56,-78.82,32.26,-98.13,-78.82,defense,False,9,False,,False
2,2,57.08,20.69,1.34,0.3,3.83,0.74,1.16,0.7,26.7,25.46,1.24,-1.89,25.46,defense,False,10,False,,False
2,3,60.79,26.49,1.12,-0.71,2.78,-1.89,1.27,1.04,-37.1,-75.01,37.91,-54.75,-75.01,defense,False,5,False,,False
2,4,61.62,18.37,1.31,1.12,3.32,3.54,2.41,2.55,61.32,79.39,18.07,90.79,79.39,defense,False,6,False,,False
2,5,72.76,25.11,-1.24,-0.22,-3.04,-3.04,1.49,1.34,162.03,-159.55,38.42,62.58,-159.55,offense,False,3,False,,False
2,6,75.22,23.8,-1.26,0.36,-3.11,0.5,1.27,1.16,166.4,-114.38,79.22,47.18,-114.38,offense,False,4,False,,False
2,7,65.27,23.57,2.03,-0.88,4.03,-1.53,2.82,2.11,-61.0,-162.76,101.76,-32.51,-162.76,defense,False,11,False,,False
2,8,72.86,19.13,2.38,0.85,6.36,2.31,2.69,1.37,42.88,21.77,21.11,-19.13,21.77,defense,False,12,False,,False
2,9,73.01,25.6,-1.76,-0.11,-4.7,-0.58,1.72,1.08,168.08,-167.89,24.03,30.69,-167.89,offense,False,1,False,,False
2,10,72.85,24.64,-1.42,-0.16,-3.7,-0.74,2.53,2.22,140.18,127.91,12.27,307.19,127.91,offense,False,2,False,,False
2,11,81.08,26.78,-0.66,-0.48,-1.64,-1.38,0.8,0.63,-150.37,-124.43,25.93,-310.72,-124.43,offense,False,7,False,,False
2,12,91.54,22.94,0.13,-0.11,0.33,-0.45,0.11,0.52,-26.77,-65.34,38.57,-132.32,-65.34,offense,False,8,False,,False
2,13,99.95,17.59,0.33,-0.29,0.45,-0.23,1.58,0.41,-53.25,-54.54,1.29,-0.45,-54.54,offense,True,14,False,,False
